product_name,Negative,Neutral,Positive,total_reviews,pct_positive,pct_negative
B000CQIDHY,1,0,3,4,75.0,25.0
B000CQIDHO,0,1,3,4,75.0,0.0
B000LKXBL4,0,0,4,4,100.0,0.0
B003VXHGE6,0,0,4,4,100.0,0.0
B0030VBQ5Y,1,0,3,4,75.0,25.0
B0030VBPN2,0,0,4,4,100.0,0.0
B0030VJ9K8,0,0,4,4,100.0,0.0
B0030VJ8YU,1,0,3,4,75.0,25.0
B0030VJ8PE,0,1,3,4,75.0,0.0
B0034EDMCW,1,0,3,4,75.0,25.0
B0034EDM2W,0,0,4,4,100.0,0.0
B0002NYO1Q,0,0,4,4,100.0,0.0
B00395570G,0,1,3,4,75.0,0.0
B000CQG8B2,0,0,4,4,100.0,0.0
B000CQG89Y,0,0,4,4,100.0,0.0
B000CQE3IC,1,0,3,4,75.0,25.0
B000CQE3HS,0,1,3,4,75.0,0.0
B000CQC0BE,1,0,3,4,75.0,25.0
B007L3NVKU,0,0,4,4,100.0,0.0
B007PA33KM,0,0,4,4,100.0,0.0
B007R900WA,0,0,4,4,100.0,0.0
B0030VBRCG,0,0,4,4,100.0,0.0
B003QDRJXY,0,0,4,4,100.0,0.0
B003VIWN1C,0,1,3,4,75.0,0.0
B000O5DI1E,0,0,4,4,100.0,0.0
B000CQC04Q,0,1,3,4,75.0,0.0
B000PDY3P0,0,0,4,4,100.0,0.0
B000UVBYRM,0,0,4,4,100.0,0.0
B006N3I2SK,0,0,4,4,100.0,0.0
B006N3IG4K,0,0,4,4,100.0,0.0
B0078Y6CN0,0,1,3,4,75.0,0.0
B007JFMH96,0,2,2,4,50.0,0.0
B005XPKYUI,0,0,4,4,100.0,0.0
B0060JNAE8,0,1,3,4,75.0,0.0
B006BXUYN8,0,0,4,4,100.0,0.0
B006BXUY2Y,0,0,4,4,100.0,0.0
B002HQLY7S,0,1,3,4,75.0,0.0
B002OL2MWM,0,1,3,4,75.0,0.0
B000633NXM,1,3,0,4,0.0,25.0
B003Z6ZGZK,0,0,4,4,100.0,0.0
B0041CIR62,0,0,4,4,100.0,0.0
B0002DGRZC,0,1,3,4,75.0,0.0
B000VK33C6,1,0,3,4,75.0,25.0
B000VJYTZM,2,1,1,4,25.0,50.0
